shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4..N06R,40.727308,-73.993622,209,
4..N06R,40.729514,-73.991740,210,
4..N06R,40.729555,-73.991705,211,
4..N06R,40.729595,-73.991669,212,
4..N06R,40.729634,-73.991631,213,
4..N06R,40.729673,-73.991592,214,
4..N06R,40.729711,-73.991551,215,
4..N06R,40.729748,-73.991509,216,
4..N06R,40.729785,-73.991466,217,
4..N06R,40.729821,-73.991422,218,
4..N06R,40.729856,-73.991376,219,
4..N06R,40.729891,-73.991328,220,
4..N06R,40.729925,-73.991280,221,
4..N06R,40.729958,-73.991229,222,
4..N06R,40.729991,-73.991178,223,
4..N06R,40.730023,-73.991125,224,
4..N06R,40.730054,-73.991070,225,
4..N06R,40.730098,-73.991003,226,
4..N06R,40.730144,-73.990941,227,
4..N06R,40.730194,-73.990882,228,
4..N06R,40.730246,-73.990827,229,
4..N06R,40.730300,-73.990775,230,
4..N06R,40.730358,-73.990727,231,
4..N06R,40.730419,-73.990682,232,
4..N06R,40.730482,-73.990641,233,
4..N06R,40.730548,-73.990603,234,
4..N06R,40.730618,-73.990569,235,
4..N06R,40.730690,-73.990538,236,
4..N06R,40.730765,-73.990511,237,
4..N06R,40.730843,-73.990488,238,
4..N06R,40.730923,-73.990468,239,
4..N06R,40.731008,-73.990453,240,
4..N06R,40.733476,-73.989863,241,
4..N06R,40.733543,-73.989854,242,
4..N06R,40.733612,-73.989847,243,
4..N06R,40.733682,-73.989842,244,
4..N06R,40.733755,-73.989839,245,
4..N06R,40.733829,-73.989838,246,
4..N06R,40.733905,-73.989840,247,
4..N06R,40.733983,-73.989843,248,
4..N06R,40.734063,-73.989849,249,
4..N06R,40.734145,-73.989857,250,
4..N06R,40.734228,-73.989867,251,
4..N06R,40.734314,-73.989880,252,
4..N06R,40.734401,-73.989894,253,
4..N06R,40.734490,-73.989911,254,
4..N06R,40.734580,-73.989930,255,
4..N06R,40.734673,-73.989951,256,
4..N06R,40.734726,-73.989958,257,
4..N06R,40.734779,-73.989964,258,
4..N06R,40.734832,-73.989967,259,
4..N06R,40.734884,-73.989969,260,
4..N06R,40.734935,-73.989968,261,
4..N06R,40.734986,-73.989965,262,
4..N06R,40.735035,-73.989960,263,
4..N06R,40.735084,-73.989953,264,
4..N06R,40.735133,-73.989944,265,
4..N06R,40.735181,-73.989933,266,
4..N06R,40.735228,-73.989920,267,
4..N06R,40.735274,-73.989904,268,
4..N06R,40.735320,-73.989887,269,
4..N06R,40.735365,-73.989867,270,
4..N06R,40.735409,-73.989845,271,
4..N06R,40.739864,-73.986599,272,
4..N06R,40.743070,-73.984264,273,
4..N06R,40.746081,-73.982076,274,
4..N06R,40.751266,-73.978287,275,
4..N06R,40.751298,-73.978260,276,
4..N06R,40.751327,-73.978232,277,
4..N06R,40.751355,-73.978203,278,
4..N06R,40.751381,-73.978172,279,
4..N06R,40.751406,-73.978141,280,
4..N06R,40.751430,-73.978108,281,
4..N06R,40.751452,-73.978074,282,
4..N06R,40.751472,-73.978038,283,
4..N06R,40.751491,-73.978002,284,
4..N06R,40.751509,-73.977964,285,
4..N06R,40.751525,-73.977925,286,
4..N06R,40.751540,-73.977884,287,
4..N06R,40.751553,-73.977843,288,
4..N06R,40.751565,-73.977800,289,
4..N06R,40.751575,-73.977756,290,
4..N06R,40.751776,-73.976848,291,
4..N06R,40.751967,-73.976038,292,
4..N06R,40.751983,-73.975979,293,
4..N06R,40.751998,-73.975923,294,
4..N06R,40.752014,-73.975869,295,
4..N06R,40.752032,-73.975817,296,
4..N06R,40.752051,-73.975768,297,
4..N06R,40.752072,-73.975721,298,
4..N06R,40.752095,-73.975676,299,
4..N06R,40.752119,-73.975634,300,
